Not After,OCN,Org Name,Cert
"31 Oct 23 15:07 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/543ba92127142d1a47ea129ae0737174.pem"
"21 Dec 23 15:11 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/61a9933e5f84265b6d9bb7b0431bb13b.pem"
"12 Nov 23 15:08 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/63fa8efd0a6d2b427c76b6ecbfcef1e8.pem"
"22 Sep 23 15:04 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/6e61028588ea044f8937f8aa625333f7.pem"
"13 Sep 23 15:03 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/7e97b703adb47343d6053541efce65df.pem"
"04 Sep 23 15:03 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/800674f9e4b550d8e730edcb3f0dad52.pem"
"21 Nov 23 15:09 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/821067db1f13499e692b442267437469.pem"
"28 Sep 24 15:37 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/9109055b24f9f44f61eb0830bde1d3d6.pem"
"18 Jul 24 15:30 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/94516521ff61f5a51c828f9aaf9bf951.pem"
"25 Sep 24 15:36 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/948a7eb202bae27161b20d86e11aedce.pem"
"13 Oct 23 15:05 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/98370ad076b3853607cafeee0ea6052e.pem"
"16 Sep 23 15:03 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/9de80dfcd147b3068ac3305535b01370.pem"
"26 Aug 23 15:02 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/9f9e2e992053f94dbd14cff3e08c02ec.pem"
"20 Jan 24 15:13 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/b5f371a8394e0f61a333909fa2a1c2bb.pem"
